tags,f1_c1,f1_c2,f2_c1,f2_c2,f3_c1,f3_c2,f4_c1,f4_c2
toothed,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
smolensk,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
concedes,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
committing,5.05637862163e-05,3.51364171395e-05,5.8991083919e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
diminishing,3.37091908109e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,3.37091908109e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
vexing,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
cinematic,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
simplify,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,2.52818931082e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
mouth,0.000134836763243,0.000210818502837,5.8991083919e-05,5.27046257093e-05,1.68545954054e-05,1.75682085698e-05,3.37091908109e-05,1.75682085698e-05
reverence,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
conceded,2.52818931082e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,3.37091908109e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
expound,1.68545954054e-05,1.75682085698e-05,3.37091908109e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
willings,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
purges,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
nettle,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
tech,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
fugitives,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05
cyrene,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
freeburg,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
scream,4.21364885136e-05,3.51364171395e-05,2.52818931082e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
saying,0.00040451028973,1.75682085698e-05,4.21364885136e-05,1.75682085698e-05,0.000160118656352,1.75682085698e-05,0.000126409465541,7.02728342791e-05
braising,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
loitered,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
padded,8.42729770272e-06,3.51364171395e-05,1.68545954054e-05,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
tempted,3.37091908109e-05,3.51364171395e-05,1.68545954054e-05,3.51364171395e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
