tags,f1_c1,f1_c2,f2_c1,f2_c2,f3_c1,f3_c2,f4_c1,f4_c2
driving,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
quality,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
waive,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
re,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
daniel,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
arrests,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
banning,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
got,5.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0
forth,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
sliding,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0
turning,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0
assured,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
darmouth,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
threatened,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
given,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
campaigns,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
shriveled,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
appointments,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
struggle,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
element,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
amazement,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
mistress,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
wanted,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
nietzsche,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
ate,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
exposing,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
created,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
starts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
messages,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
days,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
disturbed,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
isn,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
moving,1.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0
footsteps,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
clouding,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
enraged,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
already,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
executions,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
spinning,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
upwind,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
another,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0
comin,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
thoughtfully,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
thick,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
caloric,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
excommunication,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
withheld,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mercury,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
insisted,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
hydrant,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
activities,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
xii,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
girls,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
antiques,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
needed,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
master,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
observations,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
irritates,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
legs,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0
dogs,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
damaging,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
listen,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
murder,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
indiscreet,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
diversified,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
serve,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
took,12.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
kept,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
nudging,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
gambles,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
burges,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ahmed,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
guild,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
target,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
showed,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
tree,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
bitterness,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
preparation,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
matter,8.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0
flame,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
friend,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tibbitts,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
feeling,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
ran,1.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0
boston,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
mind,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0
mining,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
talking,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
manner,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stalls,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seen,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
seem,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
obviously,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
expeditions,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
quieter,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
strength,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
divulge,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
causing,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
doors,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0
laughed,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
xi,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
dragged,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
tunnels,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
blue,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
shallow,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
jammed,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
though,2.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0
object,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
panel,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
disjointed,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
germany,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
plenty,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hearts,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
hide,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
contain,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
grave,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
expound,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
episode,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
observation,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
alarm,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
camp,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
metal,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scavenging,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
breathed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
annoyed,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
came,3.0,4.0,6.0,3.0,1.0,1.0,4.0,3.0
reserve,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
